author,author-pid,top_venue_count,total_weight,closeness_centrality,normalized_degree_centrality
Xifeng Yan,y/XifengYan,3,44,0.2179778472641502,0.004483391073975953
Changsheng Xu,85/1301,3,42,0.2637647528697525,0.0042796005706134095
Curtis E. Dyreson,d/CEDyreson,3,41,0.2593965480103627,0.004177705318932138
Wilfred Ng,n/WilfredNg,3,40,0.2254869655475365,0.004075810067250866
Jing Shao,91/5981,3,34,0.2021276182845018,0.0034644385571632364
Tzu-Yi Hung,1564822,3,30,0.2739198294746669,0.0030568575504381496
Alex Yong Sang Chia,51/3141,3,30,0.235477488881903,0.0030568575504381496
Adam Jatowt,j/AdamJatowt,3,30,0.2393753724026798,0.0030568575504381496
Xindi Shang,154/1996,3,30,0.2441594961875457,0.0030568575504381496
James H. von Brecht,24/9745,3,28,0.0027395572155102,0.0028530670470756064
Yunhua Deng,97/9078,3,26,0.2461797398513169,0.002649276543713063
Chin-Yew Lin,64/6843,3,25,0.2688393449591186,0.002547381292031791
Jingyuan Chen,134/1184,3,25,0.2396244334837924,0.002547381292031791
Peng Song 0001,58/3960-1,3,24,0.2272172342202073,0.0024454860403505196
Jingwen Bian,123/2963,3,19,0.2454896979433247,0.0019360097819441614
Qi Tian 0001,78/1467-1,3,15,0.2414105927829961,0.0015284287752190748
Shangyu Chen,189/9141,3,12,0.2004853639703512,0.0012227430201752598
Yuming Fang,31/9004,2,288,0.2847055560141209,0.029345832484206236
Xintao Wang,205/3991,2,236,0.2482832521023922,0.02404727939678011
Yiqiang Chen,48/1091,2,175,0.2689556249526131,0.01783166904422254
Chew Lim Tan,t/ChewLimTan,2,154,0.2595156316057099,0.015691868758915834
Shiqi Wang 0001,58/9145-1,2,144,0.2837830434877881,0.014672916242103118
Joey Tianyi Zhou,123/5110,2,103,0.2760723694239217,0.01049521092317098
Xian-Sheng Hua 0001,56/5807-1,2,87,0.2332603364432595,0.008864886896270633
Hongyuan Zhu,133/4527,2,85,0.2678896281623476,0.00866109639290809
Peilin Zhao,84/8411,2,83,0.3043836726665238,0.008457305889545547
Kuiyu Chang,34/6669,2,74,0.2941741909785417,0.007540248624414102
Yichao Jin,42/8333,2,74,0.2645615235238433,0.007540248624414102
Christian S. Jensen,j/ChristianSJensen,2,74,0.2562854572354784,0.007540248624414102
Lei Feng,76/847,2,72,0.2526615760799811,0.007336458121051559
Guanyu Gao,150/6757,2,71,0.2453347293026281,0.0072345628693702875
Wei Feng 0005,17/1152-5,2,70,0.1907791019483467,0.007132667617689016
Jianxin Wu,w/JianxinWu,2,67,0.2811908315503488,0.006826981862645201
Jing Tang 0004,83/663-4,2,67,0.2414949725777472,0.006826981862645201
Pierre Vandergheynst,16/355,2,67,0.0026992696093998,0.006826981862645201
Chia-Wen Lin,l/ChiaWenLin,2,54,0.2700184136916242,0.0055023435907886695
Jianshu Weng,98/392,2,52,0.2892749371466512,0.005298553087426126
Xu Yang,63/1534,2,52,0.2528876346701539,0.005298553087426126
Zhenzhong Chen,07/954,2,47,0.2637535650196986,0.0047890768290197675
Bin Cui 0001,55/5031,2,46,0.2468050823141263,0.004687181577338496
Min Xu 0001,09/0-1,2,44,0.2737269027118199,0.004483391073975953
Heng Tao Shen,s/HTShen,2,44,0.2526821101590643,0.004483391073975953
Feng Pan,84/1769,2,43,0.2702061464782694,0.004381495822294681
Kaiqi Zhao 0001,127/6172-1,2,42,0.2494185571739767,0.0042796005706134095
Ada Wai-Chee Fu,f/AdaWaiCheeFu,2,42,0.2640223356362268,0.0042796005706134095
Zichuan Liu,38/11010,2,42,0.1644605672812593,0.0042796005706134095
Qingyi Tao,179/0983,2,40,0.2446975463916423,0.004075810067250866
Roger Zimmermann,79/1490,2,40,0.2431665121580015,0.004075810067250866
Ruby B. Lee,87/4706,2,38,0.1643084700463578,0.0038720195638883227
Hao Yang,54/4089,2,37,0.2632622374642004,0.003770124312207051
Yubin Deng,153/2574,2,36,0.2021341887626179,0.0036682290605257795
Jinjun Wang,87/4858,2,34,0.2448806383217585,0.0034644385571632364
Pengcheng Wu,77/2927,2,33,0.2682941730553745,0.0033625433054819643
Linhong Zhu,23/6504,2,33,0.2895308492296137,0.0033625433054819643
Boon-Siew Seah,27/4985,2,32,0.2554117328885408,0.0032606480538006927
Qi Tian 0002,78/1467-2,2,29,0.2632065205885466,0.002954962298756878
Tuan-Anh Nguyen Pham,163/4020,2,28,0.2554012424078701,0.0028530670470756064
Zhixiang Ren,21/8692,2,27,0.2381286734157092,0.0027511717953943348
Yiding Liu,155/1107,2,27,0.2226052140368158,0.0027511717953943348
Wenfei Fan,94/2372,2,27,0.2516594782833953,0.0027511717953943348
Dao Thi Phuong Quynh,11/10767,2,27,0.2515576701688747,0.0027511717953943348
Patrick Francis,01/1098,2,26,0.2212586837782669,0.002649276543713063
David C. Shepherd,153/5343,2,26,0.2212586837782669,0.002649276543713063
Handong Zhao,79/8522,2,26,0.1992902393726175,0.002649276543713063
Song Liu 0001,80/1141-1,2,26,0.2398000095987202,0.002649276543713063
