Faculty,Position,Gender,Management,DBLP,Area,author-pid
A S Madhukumar,Associate Professor,M,N,https://dblp.uni-trier.de/pers/m/Madhukumar:A=_S=.html,Computer Networks,66/549
Alexei Sourin,Associate Professor,M,N,https://dblp.org/pers/s/Sourin:Alexei.html,Computer Graphics,15/3108
Anupam Chattopadhyay,Associate Professor,M,N,https://dblp.org/pers/c/Chattopadhyay:Anupam.html,Computer Architecture,99/4535
Anwitaman Datta,Associate Professor,M,N,https://dblp.org/pers/d/Datta:Anwitaman.html,Distributed Systems,d/AnwitamanDatta
Arijit Khan,Assistant Professor,M,N,https://dblp.org/pers/k/Khan:Arijit.html,Data Management,67/2933
Arvind Easwaran,Associate Professor,M,N,https://dblp.org/pers/e/Easwaran:Arvind.html,Computer Architecture,73/1708
Bo An,Associate Professor,M,N,https://dblp.org/pid/42/6178-1.html,AI/ML,42/6178-1
Cai Jianfei,Professor,M,N,https://dblp.org/pid/83/6096.html,Computer Vision,83/6096
Cai Wentong,Professor,M,Y,https://dblp.org/pid/83/3179.html,Distributed Systems,83/3179
Cham Tat Jen,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cham:Tat=Jen.html,Computer Vision,29/3808
Chan Syin,Associate Professor,F,N,https://dblp.org/pers/c/Chan:Syin.html,Computer Networks,80/2106
Chia Liang Tien Clement,Associate Professor,M,N,https://dblp.org/pers/c/Chia:Liang=Tien.html,Multimedia,05/2952
Chng Eng Siong,Associate Professor,M,N,https://dblp.org/pers/s/Siong:Chng_Eng.html,AI/ML,c/ChngEngSiong
Cong Gao,Professor,M,N,https://dblp.uni-trier.de/pers/c/Cong:Gao.html,Data Mining,33/3180
Deepu Rajan,Associate Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajan:Deepu.html,Computer Vision,95/3115
Douglas Leslie Maskell,Associate Professor,M,N,https://dblp.org/pers/m/Maskell:Douglas_L=.html,Computer Architecture,63/6663
Dusit Niyato,Professor,M,N,https://dblp.uni-trier.de/pers/n/Niyato:Dusit.html,Computer Networks,76/440
Erik Cambria,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cambria:Erik.html,AI/ML,80/7421
Goh Wooi Boon,Associate Professor,M,N,https://dblp.org/pers/g/Goh:Wooi=Boon.html,HCI,97/6922
Guan Cuntai,Professor,M,N,https://dblp.org/pers/g/Guan:Cuntai.html,AI/ML,95/7006
He Ying,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/h/He_0001:Ying,Computer Graphics,h/YingHe1
Huang Shell Ying,Senior Lecturer,F,N,https://dblp.org/pers/h/Huang:Shell=Ying.html,Distributed Systems,61/3119
Hui Siu Cheung,Associate Professor,M,N,https://dblp.org/pers/h/Hui:Siu_Cheung.html,Information Retrieval,65/3225
