author,author-pid,year,Position,Gender,Management,Area,top_venue_count,co-author-pid,weight,paper-list,Faculty-co-author,Position-co-author,Gender-co-author,Management-co-author,Area-co-author
Guosheng Lin,126/4778,2019.0,Assistant Professor,M,N,Computer Vision,2.0,83/6096,5.0,"['journals/ivc/WuLC19', 'journals/tmm/ZhangLCSSK19', 'conf/mm/WuLTC19', 'conf/vcip/0004LCK19', 'conf/vcip/ZhangYZLCK19']",Cai Jianfei,Professor,M,N,Computer Vision
Yew-Soon Ong,64/4136,2019.0,Professor,M,Y,AI/ML,0.0,83/6096,2.0,"['journals/kbs/LiuCOW19', 'journals/corr/abs-1909-06541']",Cai Jianfei,Professor,M,N,Computer Vision
Hanwang Zhang,79/8116,2019.0,Assistant Professor,M,N,Computer Vision,4.0,83/6096,3.0,"['conf/cvpr/YangTZC19', 'conf/iccv/YangZC19', 'journals/corr/abs-1904-08608']",Cai Jianfei,Professor,M,N,Computer Vision
Shafiq R. Joty,62/2078,2019.0,Assistant Professor,M,N,AI/ML,0.0,83/6096,4.0,"['conf/iccv/GuJCZYW19', 'conf/mm/ShiCJG19', 'journals/corr/abs-1903-10658', 'journals/corr/abs-1907-12905']",Cai Jianfei,Professor,M,N,Computer Vision
Jianmin Zheng,09/5452,2019.0,Associate Professor,M,N,Computer Graphics,0.0,29/3808,3.0,"['journals/cgf/DengZCC19', 'journals/corr/abs-1901-06765', 'journals/corr/abs-1911-11999']",Cham Tat Jen,Associate Professor,M,N,Computer Vision
Jianfei Cai 0001,83/6096,2019.0,Professor,M,N,Computer Vision,4.0,29/3808,11.0,"['journals/cgf/DengZCC19', 'journals/ijon/LiuSCCZ19', 'journals/pami/ShengCCPN19', 'conf/cvpr/ZhengCC19', 'conf/iccv/CaiGLCCYM19', 'journals/corr/abs-1901-06765', 'journals/corr/abs-1903-00304', 'journals/corr/abs-1903-04227', 'journals/corr/abs-1903-10143', 'journals/corr/abs-1905-02114', 'journals/corr/abs-1911-11999']",Cham Tat Jen,Associate Professor,M,N,Computer Vision
Jianfei Cai 0001,83/6096,2019.0,Professor,M,N,Computer Vision,4.0,09/5452,9.0,"['journals/cgf/DengZCC19', 'journals/cgf/NiJCZLL19', 'journals/pami/GuoZCJZ19', 'conf/iccv/JiangCZ19', 'conf/ijcai/XuZCZ19', 'journals/corr/abs-1901-06765', 'journals/corr/abs-1902-09907', 'journals/corr/abs-1905-05622', 'journals/corr/abs-1911-11999']",,,,,
Tat-Jen Cham,29/3808,2019.0,Associate Professor,M,N,Computer Vision,1.0,09/5452,3.0,"['journals/cgf/DengZCC19', 'journals/corr/abs-1901-06765', 'journals/corr/abs-1911-11999']",,,,,
Ying He 0001,h/YingHe1,2019.0,Associate Professor,M,N,Computer Graphics,0.0,09/5452,1.0,['journals/cad/YeLZHH19'],,,,,
Hock Soon Seah,s/SeahHockSoon,2019.0,Professor,M,Y,Computer Graphics,0.0,09/5452,1.0,['journals/cg/WangZS19'],,,,,
Jianfei Cai 0001,83/6096,2019.0,Professor,M,N,Computer Vision,4.0,126/4778,5.0,"['journals/ivc/WuLC19', 'journals/tmm/ZhangLCSSK19', 'conf/mm/WuLTC19', 'conf/vcip/0004LCK19', 'conf/vcip/ZhangYZLCK19']",Lin Guosheng,Assistant Professor,M,N,Computer Vision
Weisi Lin,14/3737,2019.0,Professor,M,N,Multimedia,2.0,126/4778,3.0,"['conf/cvpr/LiuLYLLG19', 'journals/corr/abs-1903-08836', 'journals/corr/abs-1904-03571']",Lin Guosheng,Assistant Professor,M,N,Computer Vision
Rui Tan,00/5179,2019.0,Assistant Professor,M,N,Computer Architecture,0.0,126/4778,2.0,"['conf/iotdi/JiangTLL19', 'journals/corr/abs-1902-05197']",Lin Guosheng,Assistant Professor,M,N,Computer Vision
Jianfei Cai 0001,83/6096,2019.0,Professor,M,N,Computer Vision,4.0,64/4136,2.0,"['journals/kbs/LiuCOW19', 'journals/corr/abs-1909-06541']",Ong Yew Soon,Professor,M,Y,AI/ML
Mahardhika Pratama,55/9613,2019.0,Assistant Professor,M,N,AI/ML,0.0,64/4136,3.0,"['conf/cikm/PratamaZAO019', 'journals/corr/abs-1910-03437', 'journals/corr/abs-1910-04062']",Ong Yew Soon,Professor,M,Y,AI/ML
Jianfei Cai 0001,83/6096,2019.0,Professor,M,N,Computer Vision,4.0,79/8116,3.0,"['conf/cvpr/YangTZC19', 'conf/iccv/YangZC19', 'journals/corr/abs-1904-08608']",Zhang Hanwang,Assistant Professor,M,N,Computer Vision
Chunyan Miao,m/ChunyanMiao,2019.0,Professor,F,Y,AI/ML,0.0,79/8116,1.0,['conf/mm/MengCYTZMC19'],Zhang Hanwang,Assistant Professor,M,N,Computer Vision
Jianfei Cai 0001,83/6096,2019.0,Professor,M,N,Computer Vision,4.0,62/2078,4.0,"['conf/iccv/GuJCZYW19', 'conf/mm/ShiCJG19', 'journals/corr/abs-1903-10658', 'journals/corr/abs-1907-12905']",Joty Shafiq Rayhan,Assistant Professor,M,N,AI/ML
Sourav S. Bhowmick,b/SSBhowmick,2019.0,Associate Professor,M,N,Data Management,3.0,62/2078,1.0,['conf/sigmod/LiuBZWHJ19'],Joty Shafiq Rayhan,Assistant Professor,M,N,AI/ML
Xueyan Tang,23/2460,2019.0,Associate Professor,M,N,Distributed Systems,0.0,83/3179,2.0,"['journals/tpds/LiTCTLW19', 'conf/hpdc/LiSCTCTLWGZ19']",Cai Wentong,Professor,M,Y,Distributed Systems
Wentong Cai 0001,83/3179,2019.0,Professor,M,Y,Distributed Systems,0.0,23/2460,2.0,"['journals/tpds/LiTCTLW19', 'conf/hpdc/LiSCTCTLWGZ19']",Tang Xueyan,Associate Professor,M,N,Distributed Systems
Aixin Sun,78/5155,2019.0,Associate Professor,M,N,Information Retrieval,1.0,23/2460,2.0,"['conf/sigmod/TangHXLTSL19', 'journals/corr/abs-1907-09668']",Tang Xueyan,Associate Professor,M,N,Distributed Systems
Cheng Long,58/10813,2019.0,Assistant Professor,M,N,Data Mining,1.0,33/3180,2.0,"['conf/kdd/WangLCJ19', 'journals/corr/abs-1902-10928']",Cong Gao,Professor,M,N,Data Mining
Aixin Sun,78/5155,2019.0,Associate Professor,M,N,Information Retrieval,1.0,33/3180,1.0,['conf/www/LiCSC19'],Cong Gao,Professor,M,N,Data Mining
Gao Cong,33/3180,2019.0,Professor,M,N,Data Mining,1.0,58/10813,2.0,"['conf/kdd/WangLCJ19', 'journals/corr/abs-1902-10928']",Long Cheng,Assistant Professor,M,N,Data Mining
Gao Cong,33/3180,2019.0,Professor,M,N,Data Mining,1.0,78/5155,1.0,['conf/www/LiCSC19'],Sun Aixin,Associate Professor,M,N,Information Retrieval
