author,author-pid,year,Position,Gender,Management,Area,top_venue_count,co-author-pid,weight,paper-list,Faculty-co-author,Position-co-author,Gender-co-author,Management-co-author,Area-co-author
Yang Liu 0003,51/3710-3,2019.0,Professor,M,N,Software Engg,0.0,55/4730-1,7.0,"['conf/icse/WangLLML19', 'journals/tsmc/ZhouHLLD19', 'conf/iceccs/FengCX0M0L19', 'conf/icfem/Feng0L19', 'conf/icst/FengMXSLL19', 'conf/sigsoft/WangXLLLQLL19', 'journals/corr/abs-1909-06605']",Lin Shang-Wei,Assistant Professor,M,N,Software Engg
Yi Li 0008,59/871-8,2019.0,Assistant Professor,M,N,Software Engg,0.0,51/3710-3,4.0,"['conf/icse/WangLLML19', 'conf/kbse/DuX000Z19', 'conf/kbse/XieCLM0Z19', 'conf/sigsoft/DuXLM0Z19']",Liu Yang,Professor,M,N,Software Engg
Shang-Wei Lin 0001,55/4730-1,2019.0,Assistant Professor,M,N,Software Engg,0.0,51/3710-3,7.0,"['conf/icse/WangLLML19', 'journals/tsmc/ZhouHLLD19', 'conf/iceccs/FengCX0M0L19', 'conf/icfem/Feng0L19', 'conf/icst/FengMXSLL19', 'conf/sigsoft/WangXLLLQLL19', 'journals/corr/abs-1909-06605']",Liu Yang,Professor,M,N,Software Engg
Jie Zhang 0002,84/6889-2,2019.0,Associate Professor,M,N,AI/ML,0.0,51/3710-3,1.0,['journals/tifs/MengPXLZ19'],Liu Yang,Professor,M,N,Software Engg
Shang-Wei Lin 0001,55/4730-1,2019.0,Assistant Professor,M,N,Software Engg,0.0,59/871-8,1.0,['conf/icse/WangLLML19'],Li Yi,Assistant Professor,M,N,Software Engg
Yang Liu 0003,51/3710-3,2019.0,Professor,M,N,Software Engg,0.0,59/871-8,4.0,"['conf/icse/WangLLML19', 'conf/kbse/DuX000Z19', 'conf/kbse/XieCLM0Z19', 'conf/sigsoft/DuXLM0Z19']",Li Yi,Assistant Professor,M,N,Software Engg
Hock Soon Seah,s/SeahHockSoon,2019.0,Professor,M,Y,Computer Graphics,0.0,75/2611-2,3.0,"['journals/vc/WangZLGS19', 'conf/apvis/WangZ0S19', 'journals/corr/abs-1904-02348']",Lin Feng,Associate Professor,M,N,Bioinformatics
Guosheng Lin,126/4778,2019.0,Assistant Professor,M,N,Computer Vision,2.0,14/3737,3.0,"['conf/cvpr/LiuLYLLG19', 'journals/corr/abs-1903-08836', 'journals/corr/abs-1904-03571']",Lin Weisi,Professor,M,N,Multimedia
Yang Liu 0003,51/3710-3,2019.0,Professor,M,N,Software Engg,0.0,84/6889-2,1.0,['journals/tifs/MengPXLZ19'],Zhang Jie,Associate Professor,M,N,AI/ML
Mahardhika Pratama,55/9613,2019.0,Assistant Professor,M,N,AI/ML,0.0,84/6889-2,1.0,['conf/icdm/DasPSZ19'],Zhang Jie,Associate Professor,M,N,AI/ML
Jun Luo 0001,42/2501-1,2019.0,Associate Professor,M,N,Computer Networks,0.0,80/5412,1.0,['journals/tmc/WangLPS19'],Pan Sinno Jialin,Associate Professor,M,N,AI/ML
Aixin Sun,78/5155,2019.0,Associate Professor,M,N,Information Retrieval,1.0,80/5412,1.0,['journals/tmc/WangLPS19'],Pan Sinno Jialin,Associate Professor,M,N,AI/ML
Chunyan Miao,m/ChunyanMiao,2019.0,Professor,F,Y,AI/ML,0.0,80/5412,2.0,"['conf/aaai/QianPM19', 'conf/ijcai/QianPDM19']",Pan Sinno Jialin,Associate Professor,M,N,AI/ML
Yew-Soon Ong,64/4136,2019.0,Professor,M,Y,AI/ML,0.0,55/9613,3.0,"['conf/cikm/PratamaZAO019', 'journals/corr/abs-1910-03437', 'journals/corr/abs-1910-04062']",Mahardhika Pratama,Assistant Professor,M,N,AI/ML
Jie Zhang 0002,84/6889-2,2019.0,Associate Professor,M,N,AI/ML,0.0,55/9613,1.0,['conf/icdm/DasPSZ19'],Mahardhika Pratama,Assistant Professor,M,N,AI/ML
Chunyan Miao,m/ChunyanMiao,2019.0,Professor,F,Y,AI/ML,0.0,38/3641,3.0,"['journals/ijon/ParmarWZTMJZ19', 'journals/nn/MengTM19', 'conf/aaai/0004TMM19']",Tan Ah Hwee,Professor,M,Y,AI/ML
Chunyan Miao,m/ChunyanMiao,2019.0,Professor,F,Y,AI/ML,0.0,03/1554,5.0,"['conf/aaai/ZengMLSC19', 'conf/chiplay/00490MSL19', 'conf/cikm/LiuD0SGWZRXCM19', 'conf/hci/ZhangM0TS19', 'journals/corr/abs-1908-11588']",Shen Zhiqi,Senior Lecturer,M,N,AI/ML
Han Yu 0001,35/1096-1,2019.0,Assistant Professor,M,N,AI/ML,0.0,03/1554,5.0,"['conf/cikm/LiuD0SGWZRXCM19', 'journals/corr/abs-1908-11588', 'conf/atal/YuSCZL19', 'conf/mm/DongLS0GWZRX19', 'conf/mmasia/Dong0SGWZRX0H19']",Shen Zhiqi,Senior Lecturer,M,N,AI/ML
,,,,,,,,66/549,,,A S Madhukumar,Associate Professor,M,N,Computer Networks
,,,,,,,,15/3108,,,Alexei Sourin,Associate Professor,M,N,Computer Graphics
,,,,,,,,d/AnwitamanDatta,,,Anwitaman Datta,Associate Professor,M,N,Distributed Systems
,,,,,,,,67/2933,,,Arijit Khan,Assistant Professor,M,N,Data Management
,,,,,,,,80/2106,,,Chan Syin,Associate Professor,F,N,Computer Networks
,,,,,,,,May-52,,,Chia Liang Tien Clement,Associate Professor,M,N,Multimedia
,,,,,,,,c/ChngEngSiong,,,Chng Eng Siong,Associate Professor,M,N,AI/ML
,,,,,,,,63/6663,,,Douglas Leslie Maskell,Associate Professor,M,N,Computer Architecture
,,,,,,,,80/7421,,,Erik Cambria,Associate Professor,M,N,AI/ML
,,,,,,,,61/3119,,,Huang Shell Ying,Senior Lecturer,F,N,Distributed Systems
,,,,,,,,Jul-11,,,Ke Yiping Kelly,Assistant Professor,F,N,AI/ML
,,,,,,,,32/228,,,Kwoh Chee Keong,Associate Professor,M,N,Bioinformatics
,,,,,,,,Oct-93,,,Lam Kwok Yan,Professor,M,N,Cyber Security
,,,,,,,,Dec-25,,,Lana Obraztsova,Assistant Professor,F,N,AI/ML
,,,,,,,,30/6609,,,Lau Chiew Tong,Associate Professor,M,N,Computer Networks
,,,,,,,,32/3735,,,Li Fang Flora,Senior Lecturer,F,N,Computer Vision
,,,,,,,,a/QianhuiAltheaLiang,,,Liang Qianhui,Lecturer,F,N,AI/ML
,,,,,,,,24/914,,,Liu Weichen,Assistant Professor,M,N,Computer Architecture
,,,,,,,,Nov-50,,,Loke Yuan Ren,Lecturer,M,N,Computer Vision
,,,,,,,,Jan-55,,,Loy Chen Change,Associate Professor,M,N,Computer Vision
,,,,,,,,42/2718,,,Lu Shijian,Assistant Professor,M,N,Computer Vision
,,,,,,,,74/5309,,,Mohamed M. Sabry,Assistant Professor,M,N,Computer Architecture
,,,,,,,,n/WeeKeongNg,,,Ng Wee Keong,Associate Professor,M,N,Cyber Security
,,,,,,,,224/9431,,,Oh Hong Lye,Lecturer,M,N,Computer Architecture
,,,,,,,,78/6459,,,Qian Kemao,Associate Professor,M,N,Computer Vision
,,,,,,,,91/665,,,Rajapakse Jagath Chandana,Professor,M,N,Bioinformatics
,,,,,,,,73/4788,,,Smitha K G,Lecturer,F,N,Computer Architecture
,,,,,,,,s/CZSun,,,Sun Chengzheng,Professor,M,N,HCI
,,,,,,,,69/8028,,,Vun Chan Hua Nicholas,Associate Professor,M,N,Computer Architecture
,,,,,,,,95/378,,,Xavier Bresson,Associate Professor,M,N,AI/ML
,,,,,,,,52/910,,,Yeo Chai Kiat,Associate Professor,F,Y,Computer Networks
,,,,,,,,Sep-52,,,Zheng Jianmin,Associate Professor,M,N,Computer Graphics
,,,,,,,,,,,Tay Kian Boon,Senior Lecturer,M,N,Cyber Security
,,,,,,,,77/7902,,,Zhang Tianwei,Assistant Professor,M,N,Cyber Security
,,,,,,,,70/1211,,,Boyang Li,Associate Professor,M,N,AI/ML
,,,,,,,,90/9499,,,Liu Zhiwei,Assistant Professor,M,N,Computer Vision
