author,author-pid,paper,top_venue_count,co-author-pid,total_weight,weight,closeness_centrality,normalized_degree_centrality,year,conference,title,Faculty,Position,Gender,Management,Area
Kuiyu Chang,34/6669,conf/jcdl/ZhangSDCL10,2,64/6544,74,1,0.321269759,0.000784555,2010,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/jcdl/ZhangSDCL10,3,64/6544,474,1,0.312812085,0.005025392,2010,,,,,,,
Steven C. H. Hoi,h/StevenCHHoi,conf/pkdd/AngGHN08,7,57/704,214,8,0.336049433,0.002268848,2008,,,,,,,
Steven C. H. Hoi,h/StevenCHHoi,conf/pkdd/AngGHN08,7,72/3859,214,8,0.336049433,0.002268848,2008,,,,,,,
Steven C. H. Hoi,h/StevenCHHoi,conf/pkdd/AngGHN08,7,n/WeeKeongNg,214,8,0.336049433,0.002268848,2008,,,,,,,
Steven C. H. Hoi,h/StevenCHHoi,conf/dbisp2p/AngGHND08,7,d/AnwitamanDatta,214,2,0.336049433,0.002268848,2008,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/cikm/LiuDRL09,3,76/1820-27,474,1,0.312812085,0.005025392,2009,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/cikm/LiuDRL09,3,11/1187,474,1,0.312812085,0.005025392,2009,,,,,,,
Ee-Peng Lim,l/EePengLim,conf/wsdm/VuongLSLL08,3,98/4759,474,3,0.312812085,0.005025392,2008,,,,,,,
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,43/56,5,1,0.261526673,5.30E-05,2020,,,,,,,
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,140/7434,5,1,0.261526673,5.30E-05,2020,,,,,,,
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,115/9072,5,1,0.261526673,5.30E-05,2020,,,,,,,
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,33/3180,5,1,0.261526673,5.30E-05,2020,,,,,,,
Junghoon Kim,50/5995,conf/sigmod/KimGFCKC20,1,67/2933,5,1,0.261526673,5.30E-05,2020,,,,,,,
Tao Guo,43/56,conf/sigmod/KimGFCKC20,5,50/5995,37,1,0.267636482,0.000392277,2020,,,,,,,
Tao Guo,43/56,conf/sigmod/KimGFCKC20,5,115/9072,37,1,0.267636482,0.000392277,2020,,,,,,,
Tao Guo,43/56,conf/sigmod/KimGFCKC20,5,67/2933,37,1,0.267636482,0.000392277,2020,,,,,,,
Tao Guo,43/56,journals/corr/abs-1709-09287,5,140/7434,37,6,0.267636482,0.000392277,2017,,,,,,,
Tao Guo,43/56,journals/corr/abs-1709-09287,5,35/6569,37,3,0.267636482,0.000392277,2017,,,,,,,
Tao Guo,43/56,journals/corr/abs-1709-09287,5,b/SSBhowmick,37,3,0.267636482,0.000392277,2017,,,,,,,
Tao Guo,43/56,conf/sigmod/GuoCC15,5,33/3180,37,10,0.267636482,0.000392277,2015,,,,,,,
Tao Guo,43/56,conf/sigmod/GuoCC15,5,77/2970-1,37,3,0.267636482,0.000392277,2015,,,,,,,
Kaiyu Feng,140/7434,conf/sigmod/KimGFCKC20,4,50/5995,51,1,0.30165793,0.000540707,2020,,,,,,,
Kaiyu Feng,140/7434,conf/sigmod/KimGFCKC20,4,115/9072,51,1,0.30165793,0.000540707,2020,,,,,,,
Kaiyu Feng,140/7434,conf/sigmod/KimGFCKC20,4,67/2933,51,1,0.30165793,0.000540707,2020,,,,,,,
Kaiyu Feng,140/7434,journals/corr/abs-1709-09287,4,43/56,51,6,0.30165793,0.000540707,2017,,,,,,,
Kaiyu Feng,140/7434,conf/sigmod/FengCBM14,4,33/3180,51,13,0.30165793,0.000540707,2014,,,,,,,
Kaiyu Feng,140/7434,conf/sigmod/FengCBM14,4,35/6569,51,6,0.30165793,0.000540707,2014,,,,,,,
Kaiyu Feng,140/7434,conf/sigmod/FengCBM14,4,b/SSBhowmick,51,5,0.30165793,0.000540707,2014,,,,,,,
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,50/5995,5,1,0.261526673,5.30E-05,2020,,,,,,,
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,43/56,5,1,0.261526673,5.30E-05,2020,,,,,,,
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,140/7434,5,1,0.261526673,5.30E-05,2020,,,,,,,
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,33/3180,5,1,0.261526673,5.30E-05,2020,,,,,,,
Farhana Murtaza Choudhury,115/9072,conf/sigmod/KimGFCKC20,1,67/2933,5,1,0.261526673,5.30E-05,2020,,,,,,,
Xiangyu Ke,194/2946,journals/corr/abs-1904-05300,1,239/4843,16,2,0.261278146,0.000169633,2019,,,,,,,
Xiangyu Ke,194/2946,journals/corr/YalavarthiKK17,1,67/2933,16,7,0.261278146,0.000169633,2017,,,,,,,
Xiangyu Ke,194/2946,journals/corr/YalavarthiKK17,1,182/3227,16,3,0.261278146,0.000169633,2017,,,,,,,
Francesco Bonchi,b/FBonchi,journals/corr/abs-1904-07262,1,163/9777,18,2,0.256897402,0.000190838,2019,,,,,,,
Francesco Bonchi,b/FBonchi,conf/edbt/KhanBGG14,1,67/2933,18,7,0.256897402,0.000190838,2014,,,,,,,
Francesco Bonchi,b/FBonchi,conf/edbt/KhanBGG14,1,63/3664,18,4,0.256897402,0.000190838,2014,,,,,,,
